step,element,n,r2,rmse,mae,residual_icc_protein,fold
L4,7,13991,0.236181225554379,0.617033414969198,0.475023689321152,0.0374424013028497,fold_02
L4,8,14597,0.0998131314793732,2.28066957184522,1.84506460770089,0.0161716973568236,fold_02
L5,1,81506,0.0842184248076178,0.0727934629570631,0.0576485233953835,0.543437829897521,fold_02
L5,16,593,0.0350440765885445,1.3096416941982,1.09207244200449,0.350019423028057,fold_02
L5,6,49561,0.624068174018277,0.402871768987568,0.277598343029809,0.0166525749834358,fold_02
L5,7,13991,0.238380432277067,0.616144485386478,0.474066458231605,0.0376000574890848,fold_02
L5,8,14597,0.100991173001859,2.27917676900149,1.84369241604019,0.0161603205109595,fold_02
L6,1,81506,0.0842184248076178,0.0727934629570631,0.0576485233953835,0.543437829897521,fold_02
L6,16,593,0.0350440765885445,1.3096416941982,1.09207244200449,0.350019423028057,fold_02
L6,6,49561,0.624068174018277,0.402871768987568,0.277598343029809,0.0166525749834358,fold_02
L6,7,13991,0.238380432277067,0.616144485386478,0.474066458231605,0.0376000574890848,fold_02
L6,8,14597,0.100991173001859,2.27917676900149,1.84369241604019,0.0161603205109595,fold_02
L0,1,80481,0.0608300543183781,0.069440776409545,0.0551311794999198,0.496185974310669,fold_03
L0,16,592,-0.00503599402664401,1.3606087985526,1.13408653101939,0.285543032768598,fold_03
L0,6,48739,0.211754604833653,0.580772351551443,0.432741044922619,0.0124024224251787,fold_03
L0,7,13847,0.20357353074799,0.645283542454796,0.502271588852065,0.034708768845101,fold_03
L0,8,14131,0.0335554741299939,2.37676884289334,1.95518676539163,0.0181798640491367,fold_03
L1,1,80481,0.0615468763425436,0.0694142709938954,0.0551128458463,0.496245776399988,fold_03
L1,16,592,-0.00502917691041893,1.36060418406909,1.13408272025189,0.285543032768598,fold_03
L1,6,48739,0.211755956287509,0.580771853681506,0.432728407674427,0.0124024224251787,fold_03
L1,7,13847,0.203566435961412,0.645286416630251,0.502272558490059,0.034708768845101,fold_03
L1,8,14131,0.033555564257579,2.37676873206833,1.95518765574986,0.0181798640491367,fold_03
L2,1,80481,0.0640169593707646,0.0693228588708352,0.0550588764661462,0.495385084593636,fold_03
L2,16,592,-0.0050291783151728,1.36060418501997,1.13408272063,0.285543032170711,fold_03
L2,6,48739,0.45520372302019,0.482827810723689,0.358260733913166,0.0142378743575206,fold_03
L2,7,13847,0.235157839540644,0.632358930025572,0.493565292701153,0.035108592774649,fold_03
L2,8,14131,0.0525831635196888,2.35325521372842,1.91773421814762,0.0180460124997825,fold_03
L3,1,80481,0.0804735083219009,0.0687107355603008,0.0544614754061143,0.473341311746844,fold_03
L3,16,592,0.0297457613648542,1.33685788375511,1.10241911312888,0.295842721263037,fold_03
L3,6,48739,0.455837794687827,0.482546754686007,0.358338802834823,0.0119212235923818,fold_03
L3,7,13847,0.257961190010998,0.62286088182862,0.484036110203992,0.0341658742706697,fold_03
L3,8,14131,0.0598790211659041,2.3441767405523,1.91067474463065,0.0155126000684835,fold_03
L4,1,80481,0.0912403630608644,0.0683072796039895,0.0541961337880484,0.476465654869419,fold_03
L4,16,592,0.0191005721502652,1.34417157687272,1.10441540199209,0.289938187771077,fold_03
L4,6,48739,0.593060417869289,0.417292115693782,0.295930506733441,0.0190222309309168,fold_03
L4,7,13847,0.261489662376802,0.621378232781362,0.482067317199055,0.0330747337765138,fold_03
L4,8,14131,0.100181929268457,2.29337902283415,1.85090481856488,0.015978131368142,fold_03
L5,1,80481,0.0966403628314787,0.0681040306540067,0.0540376200353254,0.476736563193715,fold_03
L5,16,592,0.0350318331878037,1.33321122191611,1.09901600827206,0.290208689051529,fold_03
L5,6,48739,0.621364231079364,0.402518671893105,0.278058331614703,0.0167962295435258,fold_03
L5,7,13847,0.261923890032286,0.621195527629458,0.481541652138851,0.033615272241885,fold_03
L5,8,14131,0.101558934816232,2.29162355422993,1.84830282268249,0.0158475862466498,fold_03
L6,1,80481,0.0966403628314787,0.0681040306540067,0.0540376200353254,0.476736563193715,fold_03
L6,16,592,0.0350318331878037,1.33321122191611,1.09901600827206,0.290208689051529,fold_03
L6,6,48739,0.621364231079364,0.402518671893105,0.278058331614703,0.0167962295435258,fold_03
L6,7,13847,0.261923890032286,0.621195527629458,0.481541652138851,0.033615272241885,fold_03
L6,8,14131,0.101558934816232,2.29162355422993,1.84830282268249,0.0158475862466498,fold_03
